date,actual_price,forecast_price,error
2014-02-27,18.845358,18.439510349193856,0.4058476508061446
2014-02-28,18.794287,18.408381263571908,0.3859057364280929
2014-03-03,18.848572,18.409094054667435,0.4394779453325661
2014-03-04,18.972857,18.443175935067007,0.5296810649329942
2014-03-05,19.012857,18.47319316360732,0.5396638363926805
2014-03-06,18.955357,18.484186649129317,0.4711703508706826
2014-03-07,18.944286,18.508112970640557,0.4361730293594448
2014-03-10,18.96143,18.511802051391253,0.44962794860874666
2014-03-11,19.14607,18.51015253464438,0.6359174653556217
2014-03-12,19.164642,18.521243995664726,0.6433980043352747
2014-03-13,18.951786,18.48998349852283,0.4618025014771696
2014-03-14,18.73893,18.487060867705434,0.25186913229456565
2014-03-17,18.812143,18.504019932650866,0.30812306734913264
2014-03-18,18.978571,18.534253709399295,0.44431729060070424
2014-03-19,18.973572,18.493881016857397,0.4796909831426035
2014-03-20,18.882143,18.523396066065644,0.35874693393435564
2014-03-21,19.031071,18.503480981450647,0.5275900185493541
2014-03-24,19.256786,18.519800897425156,0.7369851025748453
2014-03-25,19.463928,18.531824771244302,0.9321032287556967
2014-03-26,19.277857,18.58508861983719,0.6927683801628106
2014-03-27,19.195,18.58987843329272,0.6051215667072789
2014-03-28,19.173571,18.596857656189776,0.5767133438102228
2014-03-31,19.169287,18.567056240070976,0.6022307599290251
2014-04-01,19.344643,18.53708090306072,0.8075620969392823
2014-04-02,19.376785,18.538137256320507,0.8386477436794948
2014-04-03,19.2425,18.572330687714278,0.6701693122857222
2014-04-04,18.99357,18.602377343597738,0.39119265640226075
2014-04-07,18.695356,18.612317841551157,0.08303815844884355
2014-04-08,18.694286,18.635770606316235,0.05851539368376635
2014-04-09,18.940001,18.63949266764639,0.3005083323536084
2014-04-10,18.695715,18.636731020713913,0.05898397928608645
2014-04-11,18.557501,18.64643380194981,-0.08893280194981301
2014-04-14,18.63143,18.613962296645063,0.017467703354938635
2014-04-15,18.498571,18.611033456506775,-0.11246245650677622
2014-04-16,18.536072,18.626751800927902,-0.09067980092790151
2014-04-17,18.747856,18.65718431827245,0.09067168172754947
2014-04-18,18.747856,18.61663708462266,0.13121891537733887
2014-04-21,18.970358,18.64597091057221,0.32438708942779115
2014-04-22,18.989286,18.627300860911525,0.36198513908847474
2014-04-23,18.741072,18.644651867023352,0.09642013297664676
2014-04-24,20.2775,18.657638840488108,1.619861159511892
2014-04-25,20.42643,18.71077782377713,1.7156521762228714
2014-04-28,21.217501,18.716436133203175,2.501064866796824
2014-04-29,21.154642,18.724172872406953,2.430469127593046
2014-04-30,21.074642,18.694403774122822,2.3802382258771786
2014-05-01,21.124287,18.664433425826964,2.459853574173035
2014-05-02,21.16357,18.66549126462722,2.498078735372779
2014-05-05,21.462856,18.699685178362596,2.7631708216374022
2014-05-06,21.22893,18.729731961490174,2.4991980385098245
2014-05-07,21.154642,18.73966790644323,2.4149740935567685
2014-05-08,20.999643,18.763118623602004,2.2365243763979947
2014-05-09,20.912144,18.76684082753692,2.1453031724630804
2014-05-12,21.172501,18.764074371876433,2.408426628123568
2014-05-13,21.205713,18.773771148614276,2.431941851385723
2014-05-14,21.209642,18.741294407043913,2.4683475929560856
2014-05-15,21.029285,18.738365540057227,2.2909194599427742
2014-05-16,21.339643,18.754078519739732,2.585564480260267
2014-05-19,21.592501,18.784511896416696,2.807989103583303
2014-05-20,21.596786,18.74396390807042,2.852822091929582
2014-05-21,21.653929,18.7732969504306,2.880632049569403
2014-05-22,21.688213,18.754632284163666,2.933580715836335
2014-05-23,21.933214,18.771987748595453,3.161226251404546
2014-05-26,21.933214,18.784978886396797,3.148235113603203
2014-05-27,22.343929,18.838117329782026,3.505811670217973
2014-05-28,22.286072,18.843779394488806,3.442292605511195
2014-05-29,22.692142,18.8515194091095,3.8406225908905007
2014-05-30,22.607143,18.821750450564124,3.785392549435876
2014-06-02,22.451786,18.791780123838908,3.6600058761610903
2014-06-03,22.769285,18.79283796906248,3.9764470309375213
2014-06-04,23.029285,18.827031884883446,4.202253115116555
2014-06-05,23.119642,18.857078668561215,4.262563331438784
2014-06-06,23.05607,18.8670145938276,4.189055406172397
2014-06-09,23.424999,18.890465302132746,4.5345336978672535
2014-06-10,23.5625,18.89418750668428,4.668312493315721
2014-06-11,23.465,18.89142103023138,4.573578969768619
2014-06-12,23.0725,18.901117781006437,4.171382218993564
2014-06-13,22.82,18.86864101679504,3.951358983204962
2014-06-16,23.049999,18.865712149692264,4.1842868503077355
2014-06-17,23.02,18.881425106178234,4.138574893821765
2014-06-18,23.045,18.911858486570853,4.133141513429148
2014-06-19,22.965,18.871310494961353,4.093689505038647
2014-06-20,22.727501,18.900643533933376,3.826857466066624
2014-06-23,22.7075,18.88197889094364,3.8255211090563606
2014-06-24,22.57,18.89933437465272,3.6706656253472794
2014-06-25,22.59,18.912325530460198,3.6776744695398023
2014-06-26,22.725,18.965463971510935,3.759536028489066
2014-06-27,22.995001,18.971126052455134,4.023874947544865
2014-06-30,23.2325,18.978866081238372,4.253633918761629
2014-07-01,23.379999,18.949097123297207,4.430901876702794
2014-07-02,23.370001,18.919126796665267,4.450874203334731
2014-07-03,23.5075,18.920184641916613,4.587315358083387
2014-07-04,23.5075,18.954378557746594,4.553121442253406
2014-07-07,23.9925,18.984425341426743,5.008074658573257
2014-07-08,23.8375,18.994361266608006,4.843138733391992
2014-07-09,23.8475,19.017811974874874,4.829688025125126
2014-07-10,23.76,19.021534179429064,4.738465820570937
2014-07-11,23.805,19.01876770288626,4.786232297113738
2014-07-14,24.112499,19.02846445354906,5.08403454645094
2014-07-15,23.83,18.995987689239758,4.83401231076024
2014-07-16,23.695,18.993058822136483,4.701941177863517
2014-07-17,23.272499,19.00877177852215,4.2637272214778505
2014-07-18,23.6075,19.039205158930834,4.568294841069168
2014-07-21,23.485001,18.998657167307226,4.486343832692775
2014-07-22,23.68,19.027990206264597,4.652009793735402
2014-07-23,24.297501,19.009325563375516,5.288175436624485
2014-07-24,24.2575,19.026681047167948,5.230818952832053
2014-07-25,24.4175,19.039672203053275,5.377827796946725
2014-07-28,24.754999,19.092810644093923,5.662188355906078
2014-07-29,24.594999,19.098472725108333,5.496526274891668
2014-07-30,24.5375,19.106212753952807,5.431287246047194
2014-07-31,23.9,19.076443796014257,4.823556203985742
2014-08-01,24.032499,19.04647346938272,4.986025530617283
2014-08-04,23.897499,19.04753131463418,4.849967685365819
2014-08-05,23.780001,19.081725230464205,4.698275769535794
2014-08-06,23.74,19.111772014144364,4.628227985855634
2014-08-07,23.620001,19.121707939325255,4.498293060674744
2014-08-08,23.684999,19.145158647591952,4.539840352408049
2014-08-11,23.997499,19.14888085214616,4.848618147853841
2014-08-12,23.9925,19.14611437560297,4.84638562439703
2014-08-13,24.309999,19.155811126265277,5.154187873734724
2014-08-14,24.375,19.12333436195556,5.2516656380444395
2014-08-15,24.495001,19.120405494852278,5.37459550514772
2014-08-18,24.790001,19.136118451237518,5.653882548762482
2014-08-19,25.1325,19.166551831646277,5.965948168353723
2014-08-20,25.1425,19.1260038400226,6.016496159977397
2014-08-21,25.145,19.155336878979913,5.989663121020087
2014-08-22,25.33,19.13667223609126,6.193327763908737
2014-08-25,25.385,19.15402771988405,6.230972280115953
2014-08-26,25.2225,19.16701887576972,6.05548112423028
2014-08-27,25.532499,19.220157316810322,6.312341683189679
2014-08-28,25.5625,19.22581939782503,6.336680602174969
2014-08-29,25.625,19.23355942666977,6.391440573330229
2014-09-01,25.625,19.203790468731228,6.421209531268772
2014-09-02,25.825001,19.17382014209969,6.651180857900311
2014-09-03,24.735001,19.174877987351152,5.560123012648848
2014-09-04,24.530001,19.209071903181176,5.320929096818823
2014-09-05,24.7425,19.23911868686133,5.503381313138668
2014-09-08,24.59,19.249054612042226,5.340945387957774
2014-09-09,24.497499,19.272505320308927,5.2249936796910745
2014-09-10,25.25,19.276227524863128,5.973772475136872
2014-09-11,25.3575,19.273461048319938,6.084038951680064
2014-09-12,25.415001,19.28315779898224,6.131843201017759
2014-09-15,25.407499,19.250681034672517,6.156817965327484
2014-09-16,25.215,19.247752167569242,5.967247832430758
2014-09-17,25.395,19.263465123954475,6.131534876045524
2014-09-18,25.4475,19.29389850436323,6.153601495636771
2014-09-19,25.24,19.25335051273956,5.98664948726044
2014-09-22,25.264999,19.28268355169687,5.98231544830313
2014-09-23,25.66,19.26401890880822,6.3959810911917785
2014-09-24,25.4375,19.281374392601013,6.156125607398987
2014-09-25,24.467501,19.294365548486677,5.173135451513321
2014-09-26,25.1875,19.347503989527283,5.839996010472717
2014-09-29,25.0275,19.353166070541995,5.674333929458005
2014-09-30,25.1875,19.360906099386735,5.826593900613265
2014-10-01,24.795,19.331137141448195,5.463862858551806
2014-10-02,24.975,19.301166814816657,5.673833185183344
2014-10-03,24.905001,19.30222466006812,5.602776339931879
2014-10-06,24.905001,19.336418575898144,5.568582424101855
2014-10-07,24.6875,19.3664653595783,5.321034640421701
2014-10-08,25.200001,19.376401284759194,5.823599715240807
2014-10-09,25.254999,19.39985199302589,5.855147006974111
2014-10-10,25.182501,19.403574197580095,5.778926802419903
2014-10-13,24.952499,19.4008077210369,5.551691278963098
2014-10-14,24.6875,19.41050447169921,5.276995528300791
2014-10-15,24.385,19.37802770738949,5.006972292610513
2014-10-16,24.065001,19.37509884028621,4.689902159713789
2014-10-17,24.4175,19.390811796671443,5.026688203328558
2014-10-20,24.940001,19.4212451770802,5.5187558229198
2014-10-21,25.6175,19.380697185456526,6.2368028145434735
2014-10-22,25.747499,19.410030224413838,6.337468775586164
2014-10-23,26.2075,19.39136558152519,6.81613441847481
2014-10-24,26.305,19.40872106531798,6.8962789346820195
2014-10-27,26.2775,19.42171222120365,6.855787778796351
2014-10-28,26.684999,19.47485066224425,7.210148337755751
2014-10-29,26.834999,19.480512743258966,7.354486256741033
2014-10-30,26.745001,19.488252772103703,7.256748227896296
2014-10-31,27.0,19.458483814165163,7.541516185834837
2014-11-03,27.35,19.428513487533625,7.921486512466377
